id,transaction,balance,candle_id,price,is_closed,cause,accuracy,result
0.0,700.0,700.0,0.0,700.0,1.0,money,0.0,
1.0,-75.93,624.07,863155.0,75.93,1.0,expired,1.0,+
2.0,-76.03,548.04,863156.0,76.03,1.0,stop_loss,1.0,-
3.0,-76.03,472.01,863157.0,76.03,1.0,stop_loss,1.0,-
4.0,-76.03,395.98,863158.0,76.03,1.0,expired,1.0,=
2.0,75.83,471.81,863158.0,75.83,1.0,stop_loss,,
3.0,75.83,547.64,863158.0,75.83,1.0,stop_loss,,
5.0,-76.03,471.61,863159.0,76.03,1.0,expired,1.0,=
6.0,-75.93,395.68,863160.0,75.93,1.0,expired,1.0,+
7.0,-76.13,319.55,863162.0,76.13,1.0,expired,1.0,-
1.0,76.03,395.58,863166.0,76.03,1.0,expired,,
4.0,76.03,471.61,863169.0,76.03,1.0,expired,,
5.0,76.03,547.64,863170.0,76.03,1.0,expired,,
6.0,76.03,623.67,863171.0,76.03,1.0,expired,,
7.0,75.93,699.6,863173.0,75.93,1.0,expired,,
8.0,-75.73,623.87,863224.0,75.73,1.0,expired,1.0,+
9.0,-75.83,548.04,863225.0,75.83,1.0,expired,1.0,+
10.0,-75.83,472.21,863226.0,75.83,1.0,expired,1.0,+
8.0,75.93,548.14,863235.0,75.93,1.0,expired,,
9.0,75.93,624.07,863236.0,75.93,1.0,expired,,
10.0,76.03,700.1,863237.0,76.03,1.0,expired,,
11.0,-76.03,624.07,863248.0,76.03,1.0,expired,1.0,-
12.0,-76.03,548.04,863249.0,76.03,1.0,stop_loss,1.0,-
13.0,-75.83,472.21,863259.0,75.83,1.0,stop_loss,1.0,-
11.0,75.83,548.04,863259.0,75.83,1.0,expired,,
12.0,75.83,623.87,863259.0,75.83,1.0,stop_loss,,
13.0,75.63,699.5,863265.0,75.63,1.0,stop_loss,,
14.0,-75.83,623.67,863299.0,75.83,1.0,stop_loss,1.0,-
15.0,-75.83,547.84,863300.0,75.83,1.0,stop_loss,1.0,-
14.0,75.43,623.27,863302.0,75.43,1.0,stop_loss,,
15.0,75.43,698.7,863302.0,75.43,1.0,stop_loss,,
16.0,-75.53,623.17,863303.0,75.53,1.0,take_profit,1.0,+
17.0,-75.63,547.54,863305.0,75.63,1.0,take_profit,1.0,+
16.0,75.87,623.41,863311.0,75.87,1.0,take_profit,,
17.0,75.97,699.38,863312.0,75.97,1.0,take_profit,,
18.0,-75.83,623.55,863331.0,75.83,1.0,stop_loss,1.0,-
19.0,-75.73,547.82,863332.0,75.73,1.0,take_profit,1.0,+
18.0,75.63,623.45,863333.0,75.63,1.0,stop_loss,,
19.0,76.37,699.82,863340.0,76.37,1.0,take_profit,,
